0.0000,1.0098,0.6651,0.1396
0.2000,1.1962,1.8475,0.4415
0.4000,1.0827,0.7922,0.3921
0.2000,1.0641,1.6844,0.4854
0.6000,1.3598,0.7613,0.8097
0.8000,1.2133,1.7391,0.6600
0.2000,1.2400,0.8700,0.7612
0.6000,1.0104,1.9467,0.0623
0.8000,1.1921,0.7907,0.7657
0.6000,0.8379,1.7473,0.7580
0.2000,1.0193,0.7518,0.9280
0.2000,0.8476,1.6577,0.7864
0.4000,1.2832,0.8782,0.9891
0.6000,0.7568,1.7073,0.3991
0.4000,1.3453,0.9167,0.7664
0.8000,1.5122,1.7915,0.6562
0.0000,1.2567,0.5635,0.2688
0.8000,0.7178,1.6684,0.6969
0.8000,0.8927,0.6429,0.8888
0.6000,0.9678,1.8616,0.2053
0.2000,0.9805,0.6315,0.9476
0.8000,1.1923,1.8083,0.3297
0.6000,0.9670,0.9068,0.2988
0.0000,0.8544,1.7593,0.2127
0.8000,0.6563,0.7395,0.9641
0.6000,0.5272,1.7733,0.0559
0.0000,0.3833,0.6409,0.7814
0.8000,0.8649,1.7509,0.3846
0.2000,0.5564,0.8352,0.7864
0.2000,0.6862,1.7189,0.6595
0.4000,1.1756,0.7945,0.2965
0.2000,0.5120,1.6518,0.4267
0.6000,0.8707,0.7146,0.1295
0.0000,1.1472,1.7281,0.8569
0.0000,0.6437,0.7446,0.4315
0.8000,0.8559,2.0057,0.9109
0.0000,1.1215,0.7254,0.6223
0.0000,1.0293,1.7656,0.7863
0.0000,1.2678,0.6510,0.9177
0.2000,1.5344,1.8726,0.4966
0.8000,0.4544,0.6679,0.8442
0.6000,1.2740,1.7214,0.6191
0.4000,0.7839,0.7855,0.5911
0.6000,1.3725,1.8005,0.8522
0.8000,0.8085,0.5711,0.5875
0.8000,0.7225,1.6980,0.0941
0.0000,1.2827,0.8598,0.0513
0.8000,0.7715,1.6927,0.9606
0.6000,1.0615,0.8755,0.6949
0.0000,1.0021,1.6851,0.9964
